zmean,alpha,kb,b0,D_ell_2033,D_ell_4093,D_ell_6153,D_ell_8213,D_ell_10273
7.145,0.5464,1.619,0.1207,0.4526,0.3702,0.2622,0.2078,0.2082
8.758,0.577,1.412,0.2821,1.079,0.952,0.7054,0.5631,0.5346
8.668,0.3486,1.273,0.5887,1.879,1.764,1.394,1.163,1.146
7.503,0.7791,1.751,0.3053,0.8977,0.7755,0.5922,0.4785,0.4775
8.807,0.6665,1.707,0.1952,1.11,0.9303,0.6573,0.5235,0.493
8.05,0.1384,0.7986,0.6291,1.754,1.756,1.439,1.237,1.26
8.122,0.1484,1.658,0.1858,0.7707,0.7284,0.5407,0.4428,0.436
7.986,0.447,0.3632,0.3724,1.112,0.8977,0.6342,0.5095,0.4983
8.599,0.2851,0.7962,0.1414,0.7112,0.6061,0.4195,0.3226,0.3103
8.466,0.8396,0.217,0.6746,1.317,0.8805,0.5604,0.4108,0.3827
8.11,0.5558,0.9075,0.6629,2.038,1.776,1.309,1.077,1.054
8.18,0.3436,1.959,0.3281,1.281,1.18,0.9046,0.7495,0.7465
7.446,0.1746,0.8421,0.7935,1.962,1.948,1.646,1.439,1.462
8.798,0.5073,0.3506,0.5434,1.8,1.412,0.9832,0.7631,0.7258
7.265,0.1707,1.093,0.4274,1.383,1.301,1.01,0.8674,0.8923
8.69,0.133,1.711,0.1512,0.9224,0.8059,0.6004,0.4833,0.4669
7.412,0.6027,0.2307,0.2703,0.6668,0.4882,0.3261,0.2485,0.2425
7.173,0.189,1.923,0.3601,1.102,1.071,0.8504,0.7232,0.7529
8.396,0.8438,1.792,0.1279,0.6809,0.5599,0.3761,0.2801,0.262
8.732,0.3109,1.993,0.1676,0.7889,0.7014,0.5198,0.4145,0.3972
8.097,0.5102,1.086,0.377,1.257,1.146,0.8411,0.689,0.6684
7.351,0.2222,1.816,0.5876,1.511,1.492,1.225,1.077,1.11
7.165,0.1265,1.88,0.5602,1.419,1.397,1.198,1.036,1.072
7.29,0.3117,0.3258,0.1726,0.5795,0.4774,0.3388,0.2681,0.2669
7.858,0.2244,0.6071,0.1538,0.6273,0.5285,0.3844,0.3155,0.3085
7.26,0.2459,0.641,0.6924,1.606,1.541,1.252,1.082,1.099
8.294,0.7755,1.118,0.6256,1.862,1.627,1.171,0.9451,0.9133
8.229,0.7478,1.418,0.1995,0.9396,0.756,0.5258,0.4018,0.383
8.904,0.6957,0.2478,0.1765,0.7775,0.581,0.3638,0.2564,0.2297
8.833,0.2585,0.1405,0.4811,1.235,1.097,0.8157,0.6696,0.6501
8.65,0.8752,1.722,0.2254,0.8918,0.759,0.5315,0.4075,0.3906
8.93,0.6416,1.071,0.7887,2.39,2.171,1.633,1.331,1.299
7.773,0.7697,1.089,0.5841,1.507,1.305,0.9599,0.7853,0.7662
7.315,0.79,1.394,0.4384,1.101,0.9448,0.6948,0.5665,0.5665
8.538,0.794,0.2551,0.701,1.608,1.073,0.6891,0.5163,0.4768
8.703,0.8975,0.7724,0.5554,1.715,1.326,0.8997,0.6946,0.6506
8.438,0.6847,1.732,0.4215,1.47,1.286,0.9651,0.7702,0.7507
7.363,0.3346,0.9692,0.2583,0.7593,0.7012,0.5257,0.4454,0.4438
8.451,0.1725,0.4606,0.3731,1.266,1.159,0.8863,0.7423,0.7352
8.542,0.1957,1.382,0.1773,0.8149,0.755,0.5696,0.4473,0.4481
8.744,0.6599,0.493,0.7914,2.084,1.631,1.163,0.9214,0.8869
8.905,0.2253,1.144,0.779,2.543,2.461,2.006,1.684,1.684
8.207,0.2856,1.214,0.7689,1.977,1.972,1.618,1.378,1.378
7.641,0.8963,1.069,0.6539,1.839,1.454,1.047,0.8302,0.8132
8.045,0.8812,0.926,0.7064,1.861,1.43,1.02,0.8217,0.7858
7.347,0.4772,1.172,0.2114,0.6873,0.5852,0.4211,0.3451,0.3384
7.38,0.6245,0.724,0.407,1.105,0.9041,0.6441,0.5203,0.5215
7.512,0.536,1.888,0.2302,0.7885,0.7089,0.5178,0.4282,0.4255
7.875,0.1123,1.499,0.7172,2.028,2.068,1.738,1.526,1.541
7.49,0.3772,1.928,0.3209,1.038,0.9342,0.7197,0.6104,0.616
7.924,0.8302,1.717,0.5447,1.519,1.361,1.006,0.8269,0.8021
7.789,0.6608,0.952,0.3832,1.102,0.8971,0.639,0.5112,0.5032
7.622,0.5541,0.9414,0.7786,2.003,1.775,1.372,1.136,1.126
8.258,0.3896,0.2665,0.4306,1.291,1.049,0.7597,0.6061,0.5845
7.709,0.5244,1.759,0.7503,1.978,1.828,1.46,1.234,1.25
8.804,0.8998,1.046,0.5422,2.042,1.539,1.096,0.8451,0.7902
7.15,0.3603,0.4643,0.2505,0.7464,0.6026,0.4552,0.3702,0.3699
8.671,0.6584,0.3826,0.2075,0.809,0.5961,0.399,0.2904,0.2659
7.081,0.6797,1.143,0.2281,0.6387,0.5264,0.3807,0.3047,0.3078
8.832,0.659,1.886,0.2172,0.9371,0.8242,0.5891,0.4684,0.445
